dataset,seed,loss,epoch,train_loss,val_loss
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,1,1.2871574874829859,1.111438030819241
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,2,0.972387847387501,0.9787422491492127
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,3,0.8857530588829013,0.9251234647181394
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,4,0.810949954065946,0.9527442987016637
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,5,0.7698404836719043,0.9446545054586671
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,6,0.7188583406964258,0.9108823868010542
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,7,0.6749563769753402,0.8842597882524669
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,8,0.6139698010860103,0.8899015231098203
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,9,0.5869317326215234,0.8747787612805263
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,10,0.5487657505633271,0.9972796071347573
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,11,0.5089945889184542,0.8760349514673083
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,12,0.471429991947435,0.8835267214466342
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,13,0.4388767717712962,1.0350635935076706
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Weighted BCE,14,0.4126856935710976,0.9100543800875437
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Soft-F2,1,0.45612867666084844,0.4319812033673842
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Soft-F2,2,0.43406596090426647,0.43194253496128876
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Soft-F2,3,0.43358161924767347,0.43193811649898833
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Soft-F2,4,0.43495552830605977,0.43193696385664904
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Soft-F2,5,0.43336624298730914,0.4319366070864012
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Soft-F2,6,0.43458819137190396,0.4319364424232099
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Soft-F2,7,0.4328906252832696,0.4319363875354794
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,1,1.2894155936236857,1.052508908210041
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,2,0.9980105183126688,0.9488502200558889
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,3,0.87539986728227,0.9163239323835579
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,4,0.8055214799813168,0.933507967767098
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,5,0.7607608928967982,0.9734379490502447
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,6,0.7227900832435443,0.9478165811771969
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,7,0.6664845628528097,0.9121772158060143
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,8,0.612313092613306,0.865517197753028
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,9,0.5722241669383594,0.8588813007306709
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,10,0.5249013354604465,0.8489974419847667
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,11,0.48631719181282257,0.8522807616981671
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,12,0.43772202413646516,0.8222704422559669
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,13,0.4019284586075938,0.8943925710033169
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,14,0.36374312193945224,0.8032615480663108
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,15,0.3353497142678011,1.0036971586213694
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,16,0.3234982192248079,0.8077622141769464
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,17,0.2897369920885531,0.8883016521124532
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,18,0.24795576860301674,0.8234556819037567
CIFAR10_Bird_vs_Frog_ControlledImbalance,719,Weighted BCE,19,0.22748351715417942,0.8294853190723941
